#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:35 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
